lat,lon,uid,aqi,name,time,date
54.569297,-1.220874,3197,24,"Middlesbrough, United Kingdom",03:00:00,2023-08-09
55.991087,-3.941685,5990,8,"Falkirk Haggs, United Kingdom",03:00:00,2023-08-09
51.617333,-0.298777,3192,25,"London Harrow Stanmore, United Kingdom",02:00:00,2023-08-09
53.76559,-2.680353,3205,24,"Preston, United Kingdom",03:00:00,2023-08-09
55.870766,-4.318448,6000,14,"Glasgow Dumbarton Road, United Kingdom",02:00:00,2023-08-09
53.33,-6.288,-354841,65,Aughavanagh Road,04:49:22,2023-08-09
51.666667,-3.194919,8055,13,"Caerphilly Blackwood High Street, United Kingdom",02:00:00,2023-08-09
51.632696,-3.947374,3218,25,"Swansea Roadside, United Kingdom",04:00:00,2023-08-09
50.916932,-0.449548,3216,23,"Storrington Roadside, United Kingdom",03:00:00,2023-08-09
51.601203,-2.977281,8059,17,"Newport St Julians Comp School, United Kingdom",04:00:00,2023-08-09
53.74878,-0.341222,3181,28,"Hull Freetown, United Kingdom",03:00:00,2023-08-09
51.374264,0.54797,3169,18,"Chatham Roadside, United Kingdom",03:00:00,2023-08-09
50.37167,-4.142361,3202,17,"Plymouth Centre, United Kingdom",02:00:00,2023-08-09
51.48879,-0.441614,3191,13,"London Harlington, United Kingdom",03:00:00,2023-08-09
51.149617,-1.438228,8912,21,"Chilbolton Observatory, United Kingdom",03:00:00,2023-08-09
53.46008,-2.472056,9080,27,"Glazebury, United Kingdom",03:00:00,2023-08-09
55.614578,-4.666786,6012,15,"North Ayrshire Irvine High St, United Kingdom",01:00:00,2023-08-09
53.385636000137,-6.3699340002986,13365,21,"Blanchardstown, Ireland",02:00:00,2023-08-09
52.5302193,-7.1379192,14656,9,"Thomastown, Co. Kilkenny, Ireland",04:00:00,2023-08-09
52.614193,1.301976,3199,26,"Norwich Lakenfields, United Kingdom",03:00:00,2023-08-09
51.552476,-0.258089,7944,25,"Brent - Ikea, United Kingdom",02:00:00,2023-08-09
53.273135,-7.4966531,13410,6,"Tullamore, Co. Offaly, Ireland",04:00:00,2023-08-09
52.958,-7.47,-214759,5,L16201,04:50:46,2023-08-09
53.967513,-1.086514,3222,22,"York Bootham, United Kingdom",03:00:00,2023-08-09
52.272257,-0.916605,10099,30,"Northampton Spring Park, United Kingdom",03:00:00,2023-08-09
53.244131,-1.454946,8911,25,"Chesterfield Loundsley Green, United Kingdom",03:00:00,2023-08-09
51.579656,-3.766465,8063,46,"Port Talbot Prince Street 2, United Kingdom",04:00:00,2023-08-09
55.673936,-3.775658,8667,12,"South Lanarkshire Lanark, United Kingdom",03:00:00,2023-08-09
56.117343,-3.791818,8668,8,"Alloa A907, United Kingdom",03:00:00,2023-08-09
52.638797999972,-7.268113999933,14210,16,"Kilkenny, Ireland",03:00:00,2023-08-09
51.289391,0.201437,14622,20,"Sevenoaks - Greatness Park, United Kingdom",03:00:00,2023-08-09
51.744806,-1.260278,3201,11,"Oxford St Ebbes, United Kingdom",03:00:00,2023-08-09
51.638094,-2.678731,3170,5,"Chepstow A48, United Kingdom",04:00:00,2023-08-09
56.399327,-3.434182,6016,7,"Perth Atholl Street, United Kingdom",03:00:00,2023-08-09
51.6063,0.5896,-109597,13,Rawreth Lane,04:39:34,2023-08-09
52.89670494002,-7.33202648189,-196696,2,L5731,04:48:51,2023-08-09
53.819972,-1.576361,3185,25,"Leeds Headingley Kerbside, United Kingdom",03:00:00,2023-08-09
53.280541000076,-6.3588420002256,13407,14,"Tallaght, Ireland",02:00:00,2023-08-09
56.036243,-3.417582,5995,11,"Fife Rosyth, United Kingdom",01:00:00,2023-08-09
55.84581,-3.947346,6006,10,"N Lanarkshire Chapelhall, United Kingdom",03:00:00,2023-08-09
55.464531,-4.631673,6021,12,"South Ayrshire Ayr High St, United Kingdom",03:00:00,2023-08-09
51.405546,0.018882,14639,34,"Bromley - Harwood Avenue, United Kingdom",02:00:00,2023-08-09
51.781784,-4.691462,10680,20,"Narberth, United Kingdom",04:00:00,2023-08-09
55.983925,-3.455939,6027,10,"West Lothian Newton, United Kingdom",01:00:00,2023-08-09
54.361111,-6.225,13390,16,"Marino, Dublin 3, Ireland",02:00:00,2023-08-09
56.373126,-3.841475,6017,7,"Perth Crieff, United Kingdom",03:00:00,2023-08-09
50.90814,-1.395778,3211,18,"Southampton Centre, United Kingdom",03:00:00,2023-08-09
51.562376,-0.004898,11768,30,"Waltham Forest Dawlish Rd, United Kingdom",01:00:00,2023-08-09
51.074793,-4.041924,4903,2,"Barnstaple A39, United Kingdom",03:00:00,2023-08-09
53.80489,-3.007175,3164,27,"Blackpool Marton, United Kingdom",03:00:00,2023-08-09
54.59965,-5.928833,6030,22,"Belfast Centre, United Kingdom",03:00:00,2023-08-09
57.141922,-2.091664,5966,10,"Aberdeen Market Street 2, United Kingdom",01:00:00,2023-08-09
51.613865,-0.125338,14594,6,"Enfield - Bowes Primary School, United Kingdom",03:00:00,2023-08-09
51.462839,-2.584482,8917,15,"Bristol St Paul's, United Kingdom",03:00:00,2023-08-09
