lat,lon,uid,aqi,name,time
52.839722000107,-6.9316667000657,13368,16,"Carlow Town, Ireland",2023-08-09T02:00:00+09:00
54.180381,-6.33924,6034,10,"Newry Canal Street, United Kingdom",2023-08-09T01:00:00+09:00
51.617333,-0.298777,3192,25,"London Harrow Stanmore, United Kingdom",2023-08-09T02:00:00+09:00
51.520894546995,-0.724024666515,14602,10,"Windsor and Maidenhead - Frascati Way, United Kingdom",2023-08-09T02:00:00+09:00
51.48178,-3.17625,3167,13,"Cardiff Centre, United Kingdom",2023-08-09T03:00:00+09:00
51.781784,-4.691462,10680,18,"Narberth, United Kingdom",2023-08-09T03:00:00+09:00
55.84581,-3.947346,6006,11,"N Lanarkshire Chapelhall, United Kingdom",2023-08-09T02:00:00+09:00
52.338033,-6.462139,13413,9,"Wexford Opera House, Ireland",2023-08-09T02:00:00+09:00
50.916932,-0.449548,3216,38,"Storrington Roadside, United Kingdom",2023-08-09T02:00:00+09:00
51.74032,-3.2983,8056,13,"Caerphilly Fochriw, United Kingdom",2023-08-09T02:00:00+09:00
53.80378,-1.546472,3184,25,"Leeds Centre, United Kingdom",2023-08-09T02:00:00+09:00
53.311838999844,-6.2353160004029,13372,20,"Clonskeagh, Ireland",2023-08-09T03:00:00+09:00
53.385636000137,-6.3699340002986,13365,21,"Blanchardstown, Ireland",2023-08-09T02:00:00+09:00
52.28881,-1.533119,3182,24,"Leamington Spa, United Kingdom",2023-08-09T02:00:00+09:00
53.967513,-1.086514,3222,22,"York Bootham, United Kingdom",2023-08-09T02:00:00+09:00
53.80489,-3.007175,3164,28,"Blackpool Marton, United Kingdom",2023-08-09T02:00:00+09:00
55.673936,-3.775658,8667,12,"South Lanarkshire Lanark, United Kingdom",2023-08-09T03:00:00+09:00
51.289391,0.201437,14622,21,"Sevenoaks - Greatness Park, United Kingdom",2023-08-09T02:00:00+09:00
51.552476,-0.258089,7944,25,"Brent - Ikea, United Kingdom",2023-08-09T02:00:00+09:00
50.73957,-1.826744,10096,26,"Bournemouth, United Kingdom",2023-08-09T02:00:00+09:00
51.149617,-1.438228,8912,21,"Chilbolton Observatory, United Kingdom",2023-08-09T02:00:00+09:00
54.565819,-1.3159,8916,24,"Stockton-on-Tees A1305 Roadside, United Kingdom",2023-08-09T02:00:00+09:00
55.614578,-4.666786,6012,15,"North Ayrshire Irvine High St, United Kingdom",2023-08-09T01:00:00+09:00
51.520787459334,0.20546070569404,7947,18,"Havering - Rainham, United Kingdom",2023-08-09T02:00:00+09:00
52.481346,-1.918235,11652,21,"Birmingham Ladywood, United Kingdom",2023-08-09T02:00:00+09:00
53.244131,-1.454946,8911,27,"Chesterfield Loundsley Green, United Kingdom",2023-08-09T02:00:00+09:00
51.666667,-3.194919,8055,13,"Caerphilly Blackwood High Street, United Kingdom",2023-08-09T02:00:00+09:00
55.97671,-3.59731,6026,10,"West Lothian Linlithgow High Street 2, United Kingdom",2023-08-09T01:00:00+09:00
53.273135,-7.4966531,13410,6,"Tullamore, Co. Offaly, Ireland",2023-08-09T04:00:00+09:00
51.2434,-1.1275,-125002,1,IBASINGS39,2023-08-09T04:25:03+09:00
52.89670494002,-7.33202648189,-196696,3,L5731,2023-08-09T04:26:56+09:00
50.411463,-4.227678,3209,12,"Saltash Callington Road, United Kingdom",2023-08-09T01:00:00+09:00
50.82881,-1.068583,3204,21,"Portsmouth, United Kingdom",2023-08-09T02:00:00+09:00
54.353728,-6.654558,6028,11,"Armagh Lonsdale Road, United Kingdom",2023-08-09T01:00:00+09:00
52.614193,1.301976,3199,26,"Norwich Lakenfields, United Kingdom",2023-08-09T02:00:00+09:00
51.562376,-0.004898,11768,30,"Waltham Forest Dawlish Rd, United Kingdom",2023-08-09T01:00:00+09:00
53.378622,-1.478096,5021,25,"Sheffield Devonshire Green, United Kingdom",2023-08-09T02:00:00+09:00
53.732182,-6.3200354,14661,9,"Drogheda, Co. Louth, Ireland",2023-08-09T02:00:00+09:00
53.99356,-7.3628,13370,7,"Cavan Town, Ireland",2023-08-09T02:00:00+09:00
51.52253,-0.154611,3193,53,"London Marylebone Road, United Kingdom",2023-08-09T02:00:00+09:00
52.95473,-1.146447,3200,25,"Nottingham Centre, United Kingdom",2023-08-09T02:00:00+09:00
53.471802,-2.237572,9047,22,"Manchester Oxford Road, United Kingdom",2023-08-08T23:00:00+09:00
55.79412,-4.354968,8046,28,"Glasgow Waulkmillglen Reservoir, United Kingdom",2023-08-09T01:00:00+09:00
53.349142,-6.450329,14769,14,"Lucan, Co. Dublin, Ireland",2023-08-09T02:00:00+09:00
54.543516,-6.008608,6342,17,"Lisburn Dunmurry Seymour Hill, United Kingdom",2023-08-08T21:00:00+09:00
53.04222,-3.002778,11651,26,"Wrexham, United Kingdom",2023-08-09T02:00:00+09:00
55.934357,-3.46919,6025,14,"West Lothian Broxburn, United Kingdom",2023-08-09T01:00:00+09:00
54.572586,-5.974944,6031,22,"Belfast Stockman's Lane, United Kingdom",2023-08-09T02:00:00+09:00
56.319444,-3.014167,5992,8,"Fife Cupar, United Kingdom",2023-08-09T02:00:00+09:00
55.870766,-4.318448,6000,13,"Glasgow Dumbarton Road, United Kingdom",2023-08-09T01:00:00+09:00
