lat,lon,uid,aqi,name,time,date
14.744791,-17.526484,13846,38,"Dakar US Embassy, Senegal",02:00:00,11/08/2023
39.785622,-104.98846,9631,37,"I-25 Globeville, Colorado, USA",02:00:00,11/08/2023
35.23393209,23.68334234,-239788,9,Paleochora,03:26:00,11/08/2023
33.9322534,133.280434,2080,61,"Hongo, Niihama, Ehime, Japan (中村新居浜市)",02:00:00,11/08/2023
30.233011,74.907758,11269,67,"Hardev Nagar, Bathinda, India",02:30:00,11/08/2023
42.661995,21.15055,8818,65,"Pristina US Consulate, Kosovo",02:00:00,11/08/2023
53.8383201,91.3126015,-177016,31,проспект Космонавтов,03:24:44,11/08/2023
-2.172331,-79.83036,-244267,52,5 de junio,03:26:26,11/08/2023
50.10654,-91.91307,-250609,19,AQSU-20FA-SLK001,03:26:48,11/08/2023
41.9419,126.4078,7289,29,"Environment protection office, Baishan (白山环保局)",02:00:00,11/08/2023
33.8883761,132.7327337,2441,63,"Taisanjicho, Matsuyama, Ehime, Japan (和気松山市)",01:00:00,11/08/2023
42.358,69.623,-174742,84,Нурсат,03:24:51,11/08/2023
46.718235,-79.10012,5453,57,"Témiscaming, Quebec, Canada",03:00:00,11/08/2023
44.89965,-97.128802,7492,57,"Watertown, South Dakota, USA",02:00:00,11/08/2023
47.878159,-95.029172,7927,20,"Red Lake Nation, Minnesota, USA",03:00:00,11/08/2023
4.262121,103.425778,2622,58,"Kemaman, Terengganu, Malaysia",02:00:00,11/08/2023
25.251013,86.989001,13815,221,"DM Office_Kachari Chowk, Bhagalpur, India",02:30:00,11/08/2023
22.969611,72.6435,12451,105,"Phase-4 GIDC, Vatva, India",02:30:00,11/08/2023
58.14888,7.99183,2642,4,"Stener Heyerdahl, Kristiansand, Norway",01:00:00,11/08/2023
61.11295,10.46487,2643,22,"Bankplassen, Lillehammer, Norway",01:00:00,11/08/2023
32.8200608,-96.8601165,204,56,"Dallas Hinton, fort Worth, Dallas, Texas",02:00:00,11/08/2023
38.795,-122.5436,13167,74,"Hidden Valley Lake, USA",02:00:00,11/08/2023
45.124,36.712,-222379,2,Приморский бульвар,03:25:26,11/08/2023
31.312111,120.66525,840,149,"Suzhou Industrial Area, Suzhou (苏州苏州工业园区)",02:00:00,11/08/2023
32.645,117.0083,7099,144,"Normal university, Huainan (淮南师范学院)",02:00:00,11/08/2023
54.9142482,24.0221896,3322,35,"Kaunas Petrašiūnai, Lithuania",01:00:00,11/08/2023
51.01628011,2.582322782,3013,48,"Houtem (veurne), Belgium",02:00:00,11/08/2023
12.632524,-8.036911,12640,65,"Bamako US Embassy, Mali",02:00:00,11/08/2023
46.8505,-111.987164,7594,51,"Ncore, Montana, USA",03:00:00,11/08/2023
45.767166,106.27489,-216544,22,Dundgobi_01(Цаг уур),03:28:04,11/08/2023
28.4569,118.0058,7803,93,"Baicaoyuan, Shangrao (上饶百草园)",02:00:00,11/08/2023
23.83560449,52.81002196,3778,75,"Al Muttahidia Girl School, Gayathi, UAE",03:00:00,11/08/2023
38.7703,-99.7636,10181,47,"Cedar Bluff, Kansas, USA",03:00:00,11/08/2023
32.645973,-115.44257,-6604,50,AYUNTAMIENTO DE MEXICALI - ESTACION 1ro DICIEMBRE,03:27:00,11/08/2023
42.229891,-122.7877,84,25,"Medford, Oregon, USA",02:00:00,11/08/2023
37.18,117.915833,10256,72,"Gaoqingtian Town, Gaoqing County (高青县高青田镇)",03:00:00,11/08/2023
55.174,61.31,-59422,23,улица Братьев Кашириных,03:22:28,11/08/2023
-8.8077875,13.2386689,-398593,121,UAN-Luanda,02:00:00,11/08/2023
24.8415,67.0091,11790,82,"Karachi US Consulate, Pakistan",02:00:00,11/08/2023
36.1344,-118.811,5365,52,"Springville-Forest Service, Tulare, California",02:00:00,11/08/2023
48.363694,-114.189272,8532,27,"Columbia Falls, Montana, USA",03:00:00,11/08/2023
55.35,36.906,-364255,60,Центральная улица,03:23:46,11/08/2023
35.038775,117.182015,10261,127,"Tengzhou New Second Middle School, Tengzhou City (滕州市滕州新二中)",03:00:00,11/08/2023
32.4069,-86.2564,7379,47,"Montg, Alabama, USA",02:00:00,11/08/2023
39.0242,-95.7114,9514,44,"KNI-Topeka, Kansas, USA",03:00:00,11/08/2023
44.3959,26.1025,-108718,61,Intrarea Smaranda,03:27:47,11/08/2023
30.7057778,76.85318056,8680,168,"Sector 6 Panchkula, Panchkula, India",02:30:00,11/08/2023
33.56916667,-112.1913889,5954,28,"Glendale, Maricopa, USA",03:00:00,11/08/2023
-23.8626,151.2705,5122,20,South Gladstone,02:00:00,11/08/2023
46.7432,82.9994,7247,55,"dōng mén wài xiǎo yóuyuán, Tacheng (塔城地区东门外小游园)",02:00:00,11/08/2023
27.8118142,-97.4657005,211,56,"Dona Park, Corpus Christi, Texas",01:00:00,11/08/2023
49.49008,105.94039,-369421,63,Darkhan_01,03:26:07,11/08/2023
48.81829,103.51873,-216547,10,bulgan_01(Цаг уур),03:27:13,11/08/2023
39.5371,75.9828,7239,74,"Patrol unit, Kashi (喀什地区巡警大队)",02:00:00,11/08/2023
23.50016,80.23284,12438,136,"Gole Bazar, Katni, India",02:30:00,11/08/2023
28.96869952,48.15145703,13586,76,"Ali-Subah Al-Salem 2, Kuwait",00:00:00,11/08/2023
43.9317,116.1042,7313,57,"Municipal Environmental Monitoring Station, Xilin Gol Meng (锡林郭勒盟市环保监测站)",02:00:00,11/08/2023
-23.61354216,-70.38331568,418,50,"Antofagasta, Chile",02:00:00,11/08/2023
30.1480566,77.2893471,11841,155,"Gobind Pura, Yamuna Nagar, India",21:30:00,10/08/2023
41.02146805,40.53090806,4128,42,"Rize, Turkey",03:00:00,11/08/2023
18.070114,-63.081481,14711,25,"Marigot, Saint-Martin, France",02:00:00,11/08/2023
32.941002,-79.656998,7546,29,"Cape Romain, South Carolina, USA",03:00:00,11/08/2023
44.6104,129.6459,3641,65,"Locomotive Factory, Mudanjiang (牡丹江机车工厂)",02:00:00,11/08/2023
25.5626095,84.663264,13874,164,"New DM Office, Arrah, India",02:30:00,11/08/2023
26.470859,74.646594,11311,159,"Civil Lines, Ajmer, India",02:30:00,11/08/2023
56.16401142,15.5889408,13991,3,"Karlskrona N Smedjegatan Ö Köpmansgatan, Sweden",02:00:00,11/08/2023
39.42689,-84.20077,7459,40,"Lebanon, Ohio, USA",03:00:00,11/08/2023
50.0488873,-110.6811172,5497,13,"Medicine Hat - Crescent Heights, Alberta, Canada",02:00:00,11/08/2023
44.736,37.8,-372694,55,Mefodiyevka,03:26:10,11/08/2023
52.288,77.007,-114532,29,Школа 41,03:24:04,11/08/2023
17.64457,105.17427,-372709,21,AQSEA_LAO_023,03:27:17,11/08/2023
15.598201,108.43753,-234301,83,AQSEA_VN_021,03:27:19,11/08/2023
12.567968,99.957479,-121969,4,ทม.หัวหิน ต.หัวหิน อ.หัวหิน จ.ประจวบคีรีขันธ์ (กอ.รมน.ประจวบคีรีขันธ์),03:00:00,11/08/2023
38.817,106.3394,4439,70,"Shahu Tourism Zone, Shizuishan (石嘴山沙湖旅游区)",02:00:00,11/08/2023
41.11575,14.77998,10932,60,"Benevento Campo Sportivo, Benevento, Campania, Italy",00:00:00,11/08/2023
31.8702534,-102.3347563,196,50,"Odessa Gonzales, Midland, Texas",01:00:00,11/08/2023
53.1325,-117.091111,5502,2,"Steeper, Alberta, Canada",01:00:00,11/08/2023
58.300875,-134.414605,-348712,12,Whittier Street,03:00:00,11/08/2023
-7.9551897,112.6119383,13647,78,"Malang, Indonesia",03:00:00,11/08/2023
54.682,30.662,-187555,10,Н2706,03:26:03,11/08/2023
47.0497,50.8038,-402937,47,Жанбай,03:24:31,11/08/2023
21.004929,107.27154,-233302,79,AQSEA_VN_017,03:25:12,11/08/2023
48.7413,44.4054,-95659,16,улица Приовражная (квартал Волта),03:25:59,11/08/2023
46.757534,33.369862,-130741,40,Street Paryzkoi komuny,03:28:44,11/08/2023
-6.168,106.796,-351493,182,Jalan Tawakal VIII,03:26:25,11/08/2023
46.6712938,11.1525179,9376,28,"Merano Meran, Bolzano Alto Adige, Italy",03:00:00,10/08/2023
37.1314,-86.1481,7411,83,"Mammoth Cave NP, Kentucky, USA",01:00:00,11/08/2023
53.629444,-8.194444,13401,22,"Roscommon Town, Ireland",02:00:00,11/08/2023
48.472645,-81.328545,-405856,34,AQSU-PHUTimmins,03:27:28,11/08/2023
19.614124,99.478223,-133006,155,อบต.ศรีถ้อย ต.ศรีถ้อย อ.แม่สรวย จ.เชียงราย (กอ.รมน. เชียงราย),03:00:00,11/08/2023
19.9775302,79.2337086,9147,144,"MIDC Khutala, Chandrapur, India",02:30:00,11/08/2023
44.3336,84.8983,4298,57,"Dushanzi District, Karamay (克拉玛依独山子区)",02:00:00,11/08/2023
45.84222,1.25967,14096,42,"Berland, France",03:00:00,11/08/2023
38.615,-7.3975,8382,41,"Terena, Alandroal, Portugal",01:00:00,11/08/2023
29.823933,121.570251,956,142,"Wanli University, Ningbo (万里学院)",01:00:00,11/08/2023
41.96451187,8.82019234,5024,36,"Ajaccio Piataniccia, France",02:00:00,11/08/2023
49.299877,21.277276,13822,38,"Pod Vinbargom, Bardejov, Slovakia",02:00:00,11/08/2023
27.8925,-82.53833333,6292,51,"USMC Reserve Center, Hillsborough, Florida, USA",04:00:00,11/08/2023
36.69426,-121.62327,3328,50,"Salinas #3, Monterey, California",02:00:00,11/08/2023
49.562487,34.078514,-44728,19,"Street Pokrovska, 14",03:27:15,11/08/2023
47.815861,31.189776,-410377,41,"Street Parkova, 5",02:48:27,11/08/2023
25.8417,98.8546,7559,70,"lú shuǐ No1 middle shcool, Nujiang (怒江州泸水一中)",02:00:00,11/08/2023
32.63888889,110.7258333,5400,99,"Liujiagou , Shiyan, Hubei (十堰刘家沟)",02:00:00,11/08/2023
25.1035,117.0216,7174,61,"Longyan City Stations, Longyan (龙岩龙岩市监测站)",02:00:00,11/08/2023
19.645324,77.6345232,8682,75,"Chandrapur, Chandrapur, India",02:30:00,11/08/2023
-22.3266084,-49.09275931,332,58,"Bauru, São Paulo, Brazil",03:00:00,11/08/2023
-26.116611,28.475417,13267,220,"Etwatwa-NAQI, City  of  Ekurhuleni, South Africa",02:00:00,11/08/2023
34.58055556,117.7352778,542,158,"Taierzhuang EPA, Zaozhuang (枣庄台儿庄环保局)",02:00:00,11/08/2023
20.42998,104.03475,-214450,22,AQSEA_LAO_004,03:27:40,11/08/2023
8.288894,-62.723473,-203737,27,Climaguayana,03:26:13,11/08/2023
-34.928853,138.600943,6444,39,Adelaide CBD,02:30:00,11/08/2023
